Ngày,Giá đóng cửa,Giá điều chỉnh,Thay đổi,Khối lượng khớp lệnh,Giá trị khớp lệnh,Khối lượng thỏa thuận,Giá trị thỏa thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
29/04/2025,68.5,68.5,-0.5(-0.72 %),336400,23.156,0,0.0,69,69.5,68.5
28/04/2025,69,69,-0.9(-1.29 %),334600,23.18,0,0.0,69.9,69.9,69
25/04/2025,69.9,69.9,1.5(2.19 %),999800,69.198,0,0.0,68.8,69.9,68.3
24/04/2025,68.4,68.4,-0.1(-0.15 %),479400,32.876,0,0.0,68.5,69,68
23/04/2025,68.5,68.5,1(1.48 %),633600,43.069,0,0.0,68.1,68.6,67
22/04/2025,67.5,67.5,-0.7(-1.03 %),1220400,81.102,403000,26.132,68.3,68.3,63.6
21/04/2025,68.2,68.2,2.7(4.12 %),1153600,77.419,0,0.0,65.7,69.3,64
18/04/2025,65.5,65.5,0.7(1.08 %),396400,26.016,0,0.0,65.5,66.2,65
17/04/2025,64.8,64.8,-0.6(-0.92 %),623400,40.449,0,0.0,65.1,65.5,64.2
16/04/2025,65.4,65.4,-0.1(-0.15 %),593500,38.711,0,0.0,64.5,66,64.5
15/04/2025,65.5,65.5,-1.9(-2.82 %),1098400,72.302,0,0.0,66.5,66.7,64.1
14/04/2025,67.4,67.4,-0.1(-0.15 %),514300,34.487,0,0.0,68,68,66.5
11/04/2025,67.5,67.5,2.3(3.53 %),1914900,125.814,0,0.0,66,67.7,64.5
10/04/2025,65.2,65.2,4.2(6.89 %),145700,9.499,0,0.0,65.2,65.2,65.2
09/04/2025,61,61,-0.2(-0.33 %),1870100,111.331,138416,9.0524064,57.1,65.4,57.1
08/04/2025,61.2,61.2,-4.6(-6.99 %),1460600,89.639,232255,15.282379,62,64.6,61.2
04/04/2025,65.8,65.8,-0.3(-0.45 %),1819200,113.962,0,0.0,61.8,65.8,61.5
03/04/2025,66.1,66.1,-4.9(-6.90 %),1880900,126.15,500000,35.5,67.6,68.9,66.1
02/04/2025,71,71,-0.5(-0.70 %),456600,32.543,0,0.0,72,72.2,70.8
01/04/2025,71.5,71.5,0.1(0.14 %),451900,32.284,0,0.0,71.9,71.9,71.1
31/03/2025,71.4,71.4,0.5(0.71 %),701000,49.608,0,0.0,70.5,71.4,70.3
28/03/2025,70.9,70.9,-2.2(-3.01 %),815200,58.561,0,0.0,73.4,73.4,70.9
27/03/2025,73.1,73.1,0.5(0.69 %),514800,37.583,0,0.0,72,73.5,72
26/03/2025,72.6,72.6,0.1(0.14 %),812800,59.296,0,0.0,72.6,73.5,72.1
25/03/2025,72.5,72.5,0.5(0.69 %),861000,62.386,0,0.0,72.4,73,71.5
24/03/2025,72,72,0.5(0.70 %),328200,23.317,0,0.0,71.5,72,70.5
21/03/2025,71.5,71.5,0(0.00 %),507100,36.362,0,0.0,71.9,72.5,71.1
20/03/2025,71.5,71.5,1.4(2.00 %),522300,37.054,0,0.0,71,71.7,70.2
19/03/2025,70.1,70.1,-1.2(-1.68 %),863300,60.543,145700,9.68905,71,71.3,69.6
18/03/2025,71.3,71.3,0.5(0.71 %),477700,34.153,137100,9.07602,70.5,72.1,70.5
17/03/2025,70.8,70.8,-0.1(-0.14 %),673600,47.752,20200,1.4039,70.9,71.9,70.4
14/03/2025,70.9,70.9,-1.3(-1.80 %),1005000,71.764,60000,4.05,72,72.5,70.6
13/03/2025,72.2,72.2,-1.6(-2.17 %),1058800,77.097,80000,5.76,74.2,74.2,72.1
12/03/2025,73.8,73.8,-0.8(-1.07 %),557900,41.24,0,0.0,74.6,75,73.6
11/03/2025,74.6,74.6,-0.4(-0.53 %),696800,51.799,80000,5.76,73.8,74.9,73.8
10/03/2025,75,75,1.7(2.32 %),1789200,133.553,0,0.0,73.6,75.7,72.7
07/03/2025,73.3,73.3,-0.4(-0.54 %),557400,40.891,100000,6.86,73.9,73.9,73
06/03/2025,73.7,73.7,0.6(0.82 %),725200,53.727,0,0.0,73.5,74.8,73.1
05/03/2025,73.1,73.1,0(0.00 %),816900,59.916,0,0.0,73.2,74.4,72.3
04/03/2025,73.1,73.1,0.5(0.69 %),1101200,79.803,0,0.0,72,73.6,71.6
03/03/2025,72.6,72.6,0.2(0.28 %),752500,54.365,0,0.0,72.9,72.9,71.9
28/02/2025,72.4,72.4,-1.6(-2.16 %),1057600,77.202,0,0.0,74,74.2,72
27/02/2025,74,74,1.4(1.93 %),835200,61.191,0,0.0,73,74.7,72.5
26/02/2025,73.6,72.6,-0.7(-0.94 %),1089300,80.369,0,0.0,74.3,75,73.3
25/02/2025,74.3,73.29,-0.7(-0.93 %),796500,59.248,0,0.0,75,75.3,73.9
24/02/2025,75,73.98,3(4.17 %),2330900,172.023,0,0.0,71.8,76,71.4
21/02/2025,72,71.02,-0.1(-0.14 %),1307900,93.625,0,0.0,72.1,72.8,70.9
20/02/2025,72.1,71.12,-0.1(-0.14 %),796900,57.84,0,0.0,73.5,73.5,72.1
19/02/2025,72.2,71.22,4.7(6.96 %),3058900,217.106,0,0.0,67.7,72.2,67.5
18/02/2025,67.5,66.58,0.8(1.20 %),444800,29.895,0,0.0,66.6,67.6,66.6
17/02/2025,66.7,65.79,-0.8(-1.19 %),498900,33.556,0,0.0,67.4,67.8,66.7
14/02/2025,67.5,66.58,-0.4(-0.59 %),617100,41.821,0,0.0,67.9,68.2,67.4
13/02/2025,67.9,66.98,-0.1(-0.15 %),519900,35.305,0,0.0,68,68.4,67.5
12/02/2025,68,67.08,0.5(0.74 %),663600,45.065,0,0.0,67.8,68.4,67.5
11/02/2025,67.5,66.58,0.7(1.05 %),576000,38.601,0,0.0,67,67.5,66.7
10/02/2025,66.8,65.89,0(0.00 %),512800,34.207,335000,23.786,66.9,66.9,66.4
07/02/2025,66.8,65.89,0.8(1.21 %),809300,54.156,0,0.0,66.2,67.4,66.2
06/02/2025,66,65.1,-0.5(-0.75 %),394000,26.113,0,0.0,66.8,66.8,66
05/02/2025,66.5,65.6,0.5(0.76 %),337800,22.423,0,0.0,66.1,66.7,66
04/02/2025,66,65.1,0.7(1.07 %),397000,26.165,0,0.0,65.7,66.4,65.4
24/01/2025,65,64.12,-0.9(-1.37 %),1193900,77.776,0,0.0,66,66,65
23/01/2025,65.9,65,0.5(0.76 %),339600,22.259,0,0.0,65.4,65.9,65.3
22/01/2025,65.4,64.51,-0.6(-0.91 %),411500,27.041,0,0.0,66.2,66.2,65.3
21/01/2025,66,65.1,-0.9(-1.35 %),278100,18.45,0,0.0,67,67,66
20/01/2025,66.9,65.99,0.2(0.30 %),385900,25.708,0,0.0,66.7,67,65.4
17/01/2025,66.7,65.79,1.1(1.68 %),566500,37.525,0,0.0,65.6,66.9,65.5
16/01/2025,65.6,64.71,0.7(1.08 %),234400,15.259,0,0.0,64.9,65.6,64.8
15/01/2025,64.9,64.02,-0.5(-0.76 %),357500,23.251,0,0.0,65,65.4,64.8
14/01/2025,65.4,64.51,0.4(0.62 %),230400,14.981,0,0.0,65.1,65.4,64.6
13/01/2025,65,64.12,0.7(1.09 %),322300,20.736,0,0.0,64.3,65,63.8
10/01/2025,64.3,63.43,-0.1(-0.16 %),338000,21.736,0,0.0,64.8,64.8,63.9
09/01/2025,64.4,63.52,0.3(0.47 %),155600,9.981,0,0.0,64.1,64.6,63.8
08/01/2025,64.1,63.23,-0.7(-1.08 %),433800,27.821,0,0.0,64.8,64.8,63.9
07/01/2025,64.8,63.92,0.8(1.25 %),464300,29.919,0,0.0,64.4,65,63.7
06/01/2025,64,63.13,-1.4(-2.14 %),841500,54.391,30,0.002022,65.4,65.7,63.9
03/01/2025,65.4,64.51,-1.6(-2.39 %),661700,43.71,0,0.0,67.3,67.3,65
02/01/2025,67,66.09,-0.9(-1.33 %),341200,22.876,0,0.0,67.9,67.9,66.8
31/12/2024,67.9,66.98,0.9(1.34 %),401500,27.013,0,0.0,67.2,67.9,66.6
30/12/2024,67,66.09,-1(-1.47 %),411200,27.738,0,0.0,67.5,68.1,67
27/12/2024,68,67.08,0(0.00 %),413200,28.067,0,0.0,68.4,68.4,67.7
26/12/2024,68,67.08,-0.7(-1.02 %),372100,25.416,0,0.0,68.8,68.9,68
25/12/2024,68.7,67.77,1.2(1.78 %),1076900,74.135,0,0.0,67.5,69.7,67.5
24/12/2024,67.5,66.58,-0.5(-0.74 %),445200,30.13,0,0.0,68,68,67.4
23/12/2024,68,67.08,0.3(0.44 %),442500,30.082,0,0.0,68.4,68.4,67.8
20/12/2024,67.7,66.78,0.4(0.59 %),582200,39.443,0,0.0,67.3,68.2,67.2
19/12/2024,67.3,66.38,-0.5(-0.74 %),731600,49.365,150000,10.875,67,68.2,66.8
18/12/2024,67.8,66.88,1.3(1.95 %),806300,54.144,0,0.0,66.5,67.8,66.4
17/12/2024,66.5,65.6,0.3(0.45 %),275700,18.284,0,0.0,66.2,66.9,66
16/12/2024,66.2,65.3,-0.3(-0.45 %),234400,15.523,0,0.0,66.5,66.8,66
13/12/2024,66.5,65.6,0.5(0.76 %),299100,19.845,0,0.0,66.1,66.9,65.9
12/12/2024,66,65.1,-0.6(-0.90 %),444100,29.532,0,0.0,66.6,67.1,66
11/12/2024,66.6,65.69,-0.8(-1.19 %),699600,46.795,0,0.0,67.4,67.6,66.5
10/12/2024,67.4,66.48,-0.4(-0.59 %),444300,30.144,0,0.0,68,68.5,67.4
09/12/2024,67.8,66.88,0(0.00 %),564500,38.221,0,0.0,68.3,68.3,67.5
06/12/2024,67.8,66.88,-0.6(-0.88 %),543900,37.052,73871,5.3999701,68.4,68.5,67.8
05/12/2024,68.4,67.47,1.2(1.79 %),1132300,77.143,0,0.0,67.2,68.6,67.2
04/12/2024,67.2,66.29,-0.6(-0.88 %),491300,33.268,0,0.0,68,68,67.2
03/12/2024,67.8,66.88,1(1.50 %),1034400,70.151,0,0.0,67.1,68.5,66.5
02/12/2024,66.8,65.89,-0.4(-0.60 %),519300,34.794,0,0.0,67.3,67.8,66.6
29/11/2024,67.2,66.29,0.2(0.30 %),499000,33.479,0,0.0,67.2,67.2,66.8
28/11/2024,67,66.09,0(0.00 %),642400,43.013,0,0.0,67.1,67.2,66.6
27/11/2024,67,66.09,0.3(0.45 %),968400,64.836,0,0.0,66.7,67.5,66.3
26/11/2024,66.7,65.79,-0.2(-0.30 %),493700,33.016,0,0.0,66.9,67.1,66.4
25/11/2024,66.9,65.99,2.2(3.40 %),1598800,106.502,0,0.0,64.8,67.3,64.2
22/11/2024,64.7,63.82,-0.3(-0.46 %),446600,28.974,0,0.0,65,65.2,64.3
21/11/2024,65,64.12,1.2(1.88 %),582500,37.565,0,0.0,64.2,65,63.8
20/11/2024,63.8,62.93,1(1.59 %),891000,55.986,0,0.0,62.8,63.8,61.8
19/11/2024,62.8,61.95,-0.9(-1.41 %),438400,27.788,0,0.0,64,64,62.8
18/11/2024,63.7,62.83,-1.3(-2.00 %),494800,31.649,0,0.0,64.9,65.1,63.6
15/11/2024,65,64.12,0(0.00 %),834000,54.184,0,0.0,64.7,65.2,64.6
14/11/2024,65,64.12,-0.4(-0.61 %),527300,34.547,0,0.0,65.6,66,65
13/11/2024,65.4,64.51,-0.4(-0.61 %),547000,35.6,0,0.0,65.6,65.6,64.8
12/11/2024,65.8,64.91,0.8(1.23 %),752400,49.39,0,0.0,65.4,66,65.1
11/11/2024,65,64.12,0.4(0.62 %),551000,35.562,0,0.0,64.6,65,64
08/11/2024,64.6,63.72,0.1(0.16 %),700700,45.234,260000,17.94,64.9,64.9,64.3
07/11/2024,64.5,63.62,0.6(0.94 %),695800,44.713,200000,12.6,64.2,64.7,63.7
06/11/2024,63.9,63.03,0.3(0.47 %),679600,43.38,200000,12.4,63.8,64.4,63.4
05/11/2024,63.6,62.74,-0.4(-0.62 %),559700,35.742,0,0.0,63.3,64.8,63.3
04/11/2024,64,63.13,2(3.23 %),1287700,81.085,0,0.0,62.3,64.1,62
01/11/2024,62,61.16,-2.1(-3.28 %),3432800,214.605,0,0.0,64,64,62
31/10/2024,64.1,63.23,-0.9(-1.38 %),391200,25.208,0,0.0,64.7,64.8,62.6
30/10/2024,65,64.12,0.4(0.62 %),643500,41.843,0,0.0,64.9,65.2,64.7
29/10/2024,64.6,63.72,1.3(2.05 %),561100,36.008,0,0.0,63.3,64.6,63.2
28/10/2024,63.3,62.44,0.3(0.48 %),285400,18.025,0,0.0,63.2,63.5,62.9
25/10/2024,63,62.14,-0.5(-0.79 %),270600,17.146,28049,1.9045271,63.9,63.9,63
24/10/2024,63.5,62.64,0.2(0.32 %),456800,28.895,0,0.0,63.3,63.5,63
23/10/2024,63.3,62.44,0.2(0.32 %),372700,23.564,0,0.0,63,63.5,62.9
22/10/2024,63.1,62.24,-1(-1.56 %),640500,40.628,0,0.0,64,64.1,63
21/10/2024,64.1,63.23,-0.7(-1.08 %),380700,24.493,0,0.0,64.7,64.8,64
18/10/2024,64.8,63.92,-0.1(-0.15 %),288000,18.737,0,0.0,64.9,65.5,64.8
17/10/2024,64.9,64.02,0(0.00 %),336200,21.831,0,0.0,64.9,65.2,64.8
16/10/2024,64.9,64.02,-0.3(-0.46 %),423400,27.51,0,0.0,65,65.5,64.6
15/10/2024,65.2,64.31,-0.7(-1.06 %),372800,24.467,0,0.0,65.9,66.2,65.2
14/10/2024,65.9,65,0.3(0.46 %),412200,27.233,0,0.0,66.5,66.6,65.7
