Ngày,Giá đóng cửa,Giá điều chỉnh,Thay đổi,Khối lượng khớp lệnh,Giá trị khớp lệnh,Khối lượng thỏa thuận,Giá trị thỏa thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Năm-Tháng,Năm,Tháng
2000-07-28,16.0,0.98,0(0.00 %),1000.0,1.6e-05,0,0.0,16.0,16.0,16.0,2000-07,2000,7
2000-07-31,16.3,1.0,0.3(1.88 %),300.0,4.89e-06,0,0.0,16.3,16.3,16.3,2000-07,2000,7
2000-08-02,16.6,1.02,0.3(1.84 %),100.0,1.66e-06,0,0.0,16.6,16.6,16.6,2000-08,2000,8
2000-08-04,16.9,1.03,0.3(1.81 %),200.0,3.38e-06,0,0.0,16.9,16.9,16.9,2000-08,2000,8
2000-08-07,17.2,1.05,0.3(1.78 %),2800.0,4.816e-05,0,0.0,17.2,17.2,17.2,2000-08,2000,8
2000-08-09,17.5,1.07,0.3(1.74 %),500.0,8.75e-06,0,0.0,17.5,17.5,17.5,2000-08,2000,8
2000-08-11,17.8,1.09,0.3(1.71 %),11000.0,0.0001958,0,0.0,17.8,17.8,17.8,2000-08,2000,8
2000-08-14,18.1,1.11,0.3(1.69 %),7800.0,0.00014118,0,0.0,18.1,18.1,18.1,2000-08,2000,8
2000-08-16,18.4,1.13,0.3(1.66 %),7100.0,0.00013064,0,0.0,18.4,18.4,18.4,2000-08,2000,8
2000-08-18,18.7,1.14,0.3(1.63 %),3100.0,5.797e-05,0,0.0,18.7,18.7,18.7,2000-08,2000,8
2000-08-21,19.0,1.16,0.3(1.60 %),10100.0,0.0001919,0,0.0,19.0,19.0,19.0,2000-08,2000,8
2000-08-23,19.3,1.18,0.3(1.58 %),42200.0,0.00081446,0,0.0,19.3,19.3,19.3,2000-08,2000,8
2000-08-25,19.0,1.16,-0.3(-1.55 %),18900.0,0.0003591,0,0.0,19.0,19.0,19.0,2000-08,2000,8
2000-08-28,18.7,1.14,-0.3(-1.58 %),36500.0,0.00068255,0,0.0,18.7,18.7,18.7,2000-08,2000,8
2000-08-30,18.4,1.13,-0.3(-1.60 %),9700.0,0.00017848,0,0.0,18.4,18.4,18.4,2000-08,2000,8
2000-09-01,18.1,1.11,-0.3(-1.63 %),25500.0,0.00046155,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-06,17.8,1.09,-0.3(-1.66 %),2800.0,4.984e-05,0,0.0,17.8,17.8,17.8,2000-09,2000,9
2000-09-08,17.5,1.07,-0.3(-1.69 %),35900.0,0.00062825,0,0.0,17.5,17.5,17.5,2000-09,2000,9
2000-09-11,17.8,1.09,0.3(1.71 %),26500.0,0.0004717,0,0.0,17.8,17.8,17.8,2000-09,2000,9
2000-09-13,18.1,1.11,0.3(1.69 %),1400.0,2.534e-05,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-15,18.4,1.13,0.3(1.66 %),35200.0,0.00064768,0,0.0,18.4,18.4,18.4,2000-09,2000,9
2000-09-18,18.1,1.11,-0.3(-1.63 %),12600.0,0.00022806,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-20,18.4,1.13,0.3(1.66 %),8800.0,0.00016192,0,0.0,18.4,18.4,18.4,2000-09,2000,9
2000-09-22,18.1,1.11,-0.3(-1.63 %),7100.0,0.00012851,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-25,18.1,1.11,0(0.00 %),7300.0,0.00013213,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-27,18.1,1.11,0(0.00 %),18700.0,0.00033847,0,0.0,18.1,18.1,18.1,2000-09,2000,9
2000-09-29,18.2,1.11,0.1(0.55 %),18500.0,0.0003367,0,0.0,18.2,18.2,18.2,2000-09,2000,9
2000-10-02,18.2,1.11,0(0.00 %),19200.0,0.00034944,0,0.0,18.2,18.2,18.2,2000-10,2000,10
2000-10-04,18.2,1.11,0(0.00 %),17100.0,0.00031122,0,0.0,18.2,18.2,18.2,2000-10,2000,10
2000-10-06,18.2,1.11,0(0.00 %),16200.0,0.00029484,0,0.0,18.2,18.2,18.2,2000-10,2000,10
2000-10-09,18.5,1.13,0.3(1.65 %),9400.0,0.0001739,0,0.0,18.5,18.5,18.5,2000-10,2000,10
2000-10-11,18.8,1.15,0.3(1.62 %),12600.0,0.00023688,0,0.0,18.8,18.8,18.8,2000-10,2000,10
2000-10-13,19.1,1.17,0.3(1.60 %),35400.0,0.00067614,0,0.0,19.1,19.1,19.1,2000-10,2000,10
2000-10-16,19.4,1.19,0.3(1.57 %),7400.0,0.00014356,0,0.0,19.4,19.4,19.4,2000-10,2000,10
2000-10-18,19.7,1.2,0.3(1.55 %),12100.0,0.00023837,0,0.0,19.7,19.7,19.7,2000-10,2000,10
2000-10-20,20.0,1.22,0.3(1.52 %),19900.0,0.000398,0,0.0,20.0,20.0,20.0,2000-10,2000,10
2000-10-23,20.4,1.25,0.4(2.00 %),18700.0,0.00038148,0,0.0,20.4,20.4,20.4,2000-10,2000,10
2000-10-25,20.8,1.27,0.4(1.96 %),13500.0,0.0002808,0,0.0,20.8,20.8,20.8,2000-10,2000,10
2000-10-27,21.2,1.3,0.4(1.92 %),43000.0,0.0009116,0,0.0,21.2,21.2,21.2,2000-10,2000,10
2000-10-30,21.2,1.3,0(0.00 %),42200.0,0.00089464,0,0.0,21.2,21.2,21.2,2000-10,2000,10
2000-11-01,21.6,1.32,0.4(1.89 %),50800.0,0.00109728,0,0.0,21.6,21.6,21.6,2000-11,2000,11
2000-11-03,22.0,1.35,0.4(1.85 %),13900.0,0.0003058,0,0.0,22.0,22.0,22.0,2000-11,2000,11
2000-11-06,22.4,1.37,0.4(1.82 %),3100.0,6.944e-05,0,0.0,22.4,22.4,22.4,2000-11,2000,11
2000-11-08,22.8,1.39,0.4(1.79 %),12700.0,0.00028956,0,0.0,22.8,22.8,22.8,2000-11,2000,11
2000-11-10,23.2,1.42,0.4(1.75 %),4700.0,0.00010904,0,0.0,23.2,23.2,23.2,2000-11,2000,11
2000-11-13,23.6,1.44,0.4(1.72 %),800.0,1.888e-05,0,0.0,23.6,23.6,23.6,2000-11,2000,11
2000-11-15,24.0,1.47,0.4(1.69 %),200.0,4.8e-06,0,0.0,24.0,24.0,24.0,2000-11,2000,11
2000-11-17,24.4,1.49,0.4(1.67 %),8300.0,0.00020252,0,0.0,24.4,24.4,24.4,2000-11,2000,11
2000-11-20,24.8,1.52,0.4(1.64 %),7200.0,0.00017856,0,0.0,24.8,24.8,24.8,2000-11,2000,11
2000-11-22,25.2,1.54,0.4(1.61 %),59700.0,0.00150444,0,0.0,25.2,25.2,25.2,2000-11,2000,11
2000-11-24,25.7,1.57,0.5(1.98 %),56700.0,0.00145719,0,0.0,25.7,25.7,25.7,2000-11,2000,11
2000-11-27,26.2,1.6,0.5(1.95 %),48500.0,0.0012707,0,0.0,26.2,26.2,26.2,2000-11,2000,11
2000-11-29,26.7,1.63,0.5(1.91 %),23900.0,0.00063813,0,0.0,26.7,26.7,26.7,2000-11,2000,11
2000-12-01,27.2,1.66,0.5(1.87 %),5900.0,0.00016048,0,0.0,27.2,27.2,27.2,2000-12,2000,12
2000-12-04,27.7,1.69,0.5(1.84 %),5000.0,0.0001385,0,0.0,27.7,27.7,27.7,2000-12,2000,12
2000-12-06,28.2,1.72,0.5(1.81 %),5000.0,0.000141,0,0.0,28.2,28.2,28.2,2000-12,2000,12
2000-12-08,28.7,1.76,0.5(1.77 %),1200.0,3.444e-05,0,0.0,28.7,28.7,28.7,2000-12,2000,12
2000-12-11,29.2,1.79,0.5(1.74 %),4500.0,0.0001314,0,0.0,29.2,29.2,29.2,2000-12,2000,12
2000-12-13,29.7,1.82,0.5(1.71 %),19100.0,0.00056727,0,0.0,29.7,29.7,29.7,2000-12,2000,12
2000-12-15,30.2,1.85,0.5(1.68 %),10500.0,0.0003171,0,0.0,30.2,30.2,30.2,2000-12,2000,12
2000-12-18,30.8,1.88,0.6(1.99 %),1500.0,4.62e-05,0,0.0,30.8,30.8,30.8,2000-12,2000,12
2000-12-20,31.4,1.92,0.6(1.95 %),400.0,1.256e-05,0,0.0,31.4,31.4,31.4,2000-12,2000,12
2000-12-22,32.0,1.96,0.6(1.91 %),7300.0,0.0002336,0,0.0,32.0,32.0,32.0,2000-12,2000,12
2000-12-25,32.6,1.99,0.6(1.88 %),700.0,2.282e-05,0,0.0,32.6,32.6,32.6,2000-12,2000,12
2000-12-27,32.2,1.97,-0.4(-1.23 %),5400.0,0.00017388,0,0.0,32.2,32.2,32.2,2000-12,2000,12
2000-12-29,32.8,2.01,0.6(1.86 %),7800.0,0.00025584,0,0.0,32.8,32.8,32.8,2000-12,2000,12
2001-01-03,33.4,2.04,0.6(1.83 %),7500.0,0.0002505,0,0.0,33.4,33.4,33.4,2001-01,2001,1
2001-01-05,34.0,2.08,0.6(1.80 %),6800.0,0.0002312,0,0.0,34.0,34.0,34.0,2001-01,2001,1
2001-01-08,34.6,2.12,0.6(1.76 %),16200.0,0.00056052,0,0.0,34.6,34.6,34.6,2001-01,2001,1
2001-01-10,35.2,2.15,0.6(1.73 %),8500.0,0.0002992,0,0.0,35.2,35.2,35.2,2001-01,2001,1
2001-01-12,35.9,2.2,0.7(1.99 %),26500.0,0.00095135,0,0.0,35.9,35.9,35.9,2001-01,2001,1
2001-01-15,36.6,2.24,0.7(1.95 %),18600.0,0.00068076,0,0.0,36.6,36.6,36.6,2001-01,2001,1
2001-01-17,37.3,2.28,0.7(1.91 %),10500.0,0.00039165,0,0.0,37.3,37.3,37.3,2001-01,2001,1
