khu_vuc,dan_so,dien_tich,mat_do_dan_so,vung
TP Hồ Chí Minh,8993082,2061.0,4363.455604075692,Đông Nam Bộ
Hà Nội,8053663,3358.9,2397.708475989163,Đồng bằng sông Hồng
Thanh Hóa,3640128,11114.7,327.50573564738585,Bắc Trung Bộ
Nghệ An,3327791,16493.7,201.76133917798916,Bắc Trung Bộ
Đồng Nai,3097107,5905.7,524.4267402678768,Đông Nam Bộ
Bình Dương,2426561,2694.7,900.493932534234,Đông Nam Bộ
Hải Phòng,2028514,1522.5,1332.3573070607554,Đồng bằng sông Hồng
An Giang,1908352,3536.7,539.5854892979331,Đồng bằng sông Cửu Long
Hải Dương,1892254,1668.2,1134.3088358709986,Đồng bằng sông Hồng
Đắk Lắk,1869322,13030.5,143.457426806339,Tây Nguyên
Thái Bình,1860447,1570.5,1184.6208213944603,Đồng bằng sông Hồng
Bắc Giang,1803950,3851.4,468.3881186062211,Đông Bắc Bộ
Nam Định,1780393,1668.0,1067.3818944844124,Đồng bằng sông Hồng
Tiền Giang,1764185,2510.5,702.7225652260506,Đồng bằng sông Cửu Long
Kiên Giang,1723067,6348.8,271.4004221270161,Đồng bằng sông Cửu Long
Long An,1688547,4490.2,376.0516235357,Đồng bằng sông Cửu Long
Đồng Tháp,1599504,3383.8,472.6946036999822,Đồng bằng sông Cửu Long
Gia Lai,1513847,15510.8,97.59954354385331,Tây Nguyên
Quảng Nam,1495812,10574.7,141.45195608386052,Nam Trung Bộ
Bình Định,1486918,6066.2,245.11522864396164,Nam Trung Bộ
Phú Thọ,1463726,3534.6,414.11361964578737,Đông Bắc Bộ
Bắc Ninh,1368840,822.7,1663.8385802844293,Đồng bằng sông Hồng
Quảng Ninh,1320324,6177.7,213.72420156368875,Đông Bắc Bộ
Lâm Đồng,1296906,9783.2,132.5646005397007,Tây Nguyên
Hà Tĩnh,1288866,5990.7,215.14447393459864,Bắc Trung Bộ
Bến Tre,1288463,2394.6,538.0702413764303,Đồng bằng sông Cửu Long
Thái Nguyên,1286751,3536.4,363.8590091618595,Đông Bắc Bộ
Hưng Yên,1252731,930.2,1346.7329606536227,Đồng bằng sông Hồng
Sơn La,1248415,14123.5,88.3927496725316,Tây Bắc Bộ
Cần Thơ,1235171,1439.2,858.2344357976654,Đồng bằng sông Cửu Long
Quảng Ngãi,1231697,5135.2,239.8537544788908,Nam Trung Bộ
Khánh Hòa,1231107,5137.8,239.61754058157186,Nam Trung Bộ
Bình Thuận,1230808,7812.8,157.5373745648167,Nam Trung Bộ
Sóc Trăng,1199653,3311.8,362.23594419952894,Đồng bằng sông Cửu Long
Cà Mau,1194476,5294.8,225.59416786280877,Đồng bằng sông Cửu Long
Tây Ninh,1169165,4041.4,289.2970257831444,Đông Nam Bộ
Vĩnh Phúc,1151154,1235.2,931.9575777202073,Đồng bằng sông Hồng
Bà Rịa - Vũng Tàu,1148313,1980.8,579.7218295638127,Đông Nam Bộ
Đà Nẵng,1134310,1284.9,882.800217915791,Nam Trung Bộ
Thừa Thiên Huế,1128620,5048.2,223.568796798859,Bắc Trung Bộ
Vĩnh Long,1022791,1475.0,693.4176271186441,Đồng bằng sông Cửu Long
Trà Vinh,1009168,2358.2,427.93995420235774,Đồng bằng sông Cửu Long
Bình Phước,994679,6877.0,144.63850516213466,Đông Nam Bộ
Ninh Bình,982487,1387.0,708.354001441961,Đồng bằng sông Hồng
Bạc Liêu,907236,2669.0,339.9160734357437,Đồng bằng sông Cửu Long
Quảng Bình,895430,8065.3,111.02252861021908,Bắc Trung Bộ
Phú Yên,872964,5023.4,173.77951188438112,Nam Trung Bộ
Hà Giang,854679,7929.5,107.78472791474873,Đông Bắc Bộ
Hòa Bình,854131,4591.0,186.044652581137,Tây Bắc Bộ
Hà Nam,852800,860.9,990.5912417237774,Đồng bằng sông Hồng
Yên Bái,821030,6887.7,119.20234621136228,Tây Bắc Bộ
Tuyên Quang,784811,5867.9,133.74648511392493,Đông Bắc Bộ
Lạng Sơn,781655,8310.2,94.05970975427786,Đông Bắc Bộ
Hậu Giang,733017,1621.8,451.97743248242693,Đồng bằng sông Cửu Long
Lào Cai,730420,6364.0,114.77372721558768,Tây Bắc Bộ
Quảng Trị,632375,4739.8,133.41807671209756,Bắc Trung Bộ
Đắk Nông,622168,6509.3,95.58139892154303,Tây Nguyên
Điện Biên,598856,9541.0,62.76658631170737,Tây Bắc Bộ
Ninh Thuận,590467,3355.3,175.98038923494173,Nam Trung Bộ
Kon Tum,540341,9674.2,55.85381736991172,Tây Nguyên
Cao Bằng,530341,6700.3,79.15182902258108,Đông Bắc Bộ
Lai Châu,460196,9068.8,50.74497177134792,Tây Bắc Bộ
Bắc Kạn,313905,4859.96,64.59003777808871,Đông Bắc Bộ
